id,date,domain,srrank,traffic,unique_year_month
1290,2023-11-15,thepennypincher.co.uk,137133,2169,2023-11
1291,2023-12-15,thepennypincher.co.uk,128647,2331,2023-12
1292,2023-01-15,themammafairy.com,3538902,2,2023-01
1293,2023-02-15,themammafairy.com,2920415,5,2023-02
1294,2023-03-15,themammafairy.com,2431721,8,2023-03
1295,2023-04-15,themammafairy.com,2625922,5,2023-04
1296,2023-05-15,themammafairy.com,2321471,7,2023-05
1297,2023-06-15,themammafairy.com,2927595,3,2023-06
1298,2023-07-15,themammafairy.com,2262893,8,2023-07
1299,2023-08-15,themammafairy.com,2211952,9,2023-08
1300,2023-09-15,themammafairy.com,2246659,9,2023-09
1301,2023-10-15,themammafairy.com,2021069,12,2023-10
1302,2023-11-15,themammafairy.com,1485588,33,2023-11
1303,2023-12-15,themammafairy.com,877267,115,2023-12
1304,2023-01-15,keralpatel.com,0,0,2023-01
1305,2023-02-15,keralpatel.com,0,0,2023-02
1306,2023-03-15,keralpatel.com,0,0,2023-03
1307,2023-04-15,keralpatel.com,0,0,2023-04
1308,2023-05-15,keralpatel.com,0,0,2023-05
1309,2023-06-15,keralpatel.com,0,0,2023-06
1310,2023-07-15,keralpatel.com,0,0,2023-07
1311,2023-08-15,keralpatel.com,0,0,2023-08
1312,2023-09-15,keralpatel.com,0,0,2023-09
1313,2023-10-15,keralpatel.com,0,0,2023-10
1314,2023-11-15,keralpatel.com,0,0,2023-11
1315,2023-12-15,keralpatel.com,9820397,0,2023-12
1316,2023-01-15,jennyinneverland.com,395392,545,2023-01
1317,2023-02-15,jennyinneverland.com,642917,244,2023-02
1318,2023-03-15,jennyinneverland.com,681225,214,2023-03
1319,2023-04-15,jennyinneverland.com,784061,147,2023-04
1320,2023-05-15,jennyinneverland.com,953230,98,2023-05
1321,2023-06-15,jennyinneverland.com,824698,133,2023-06
1322,2023-07-15,jennyinneverland.com,752005,157,2023-07
1323,2023-08-15,jennyinneverland.com,652321,207,2023-08
1324,2023-09-15,jennyinneverland.com,691536,179,2023-09
1325,2023-10-15,jennyinneverland.com,509572,315,2023-10
1326,2023-11-15,jennyinneverland.com,303532,721,2023-11
1327,2023-12-15,jennyinneverland.com,251020,932,2023-12
1328,2023-01-15,sashashantel.com,1862089,21,2023-01
1329,2023-02-15,sashashantel.com,1919001,19,2023-02
1330,2023-03-15,sashashantel.com,1860043,19,2023-03
1331,2023-04-15,sashashantel.com,2094601,11,2023-04
1332,2023-05-15,sashashantel.com,2263611,8,2023-05
1333,2023-06-15,sashashantel.com,1732566,20,2023-06
1334,2023-07-15,sashashantel.com,1574531,27,2023-07
1335,2023-08-15,sashashantel.com,2152685,10,2023-08
1336,2023-09-15,sashashantel.com,2265641,8,2023-09
